5	567.6124456	2	609.0137307
7	512.3141371	5	600.5594968
10	477.7930869	8	605.133615
13	367.9382401	10	669.6805657
15	330.8406385	13	839.0123246
18	295.8949384	17	1009.634404
20	315.8628813	21	1058.75778
23	333.3127522	24	986.7675231
26	438.7275893	27	945.8235046
29	553.0505836	30	874.2322946
31	704.1897833	34	797.5680722
34	749.2222925	38	722.0646671
37	788.6666359	41	698.9795347
42	686.9322164	44	655.7730997
44	625.479928	46	539.3506383
47	596.3641731	49	448.9058243
51	664.2652259	51	429.7240051
54	733.5195016	53	548.3526133
57	767.605093	57	619.9246952
60	690.517332	64	674.6666227
66	701.0729504	67	633.1805456
69	696.7292064	71	646.4323128
72	728.9824828	75	721.3484172
75	600.7631286	78	878.0305859
77	501.5458096	81	1044.499845
79	384.4415035	85	1019.092633
82	476.9500879	89	966.6548745
84	582.0213896	92	831.6327734
86	747.3175735	94	815.3683189
90	827.724642	98	780.3401888
93	884.5273941	103	828.156559
97	805.2478204	106	810.6617491
100	747.8386527	110	767.7053481
103	686.014058	112	703.8106285
106	723.1703442	117	649.1766152
109	758.6988286	123	610.017051
111	824.9442639	125	583.7918803
114	848.867406	127	636.2500546
116	821.2885436	130	749.2332483
120	814.4480377	134	741.8585784
123	791.8026204	141	644.6650471
125	834.5947597	145	520.6661877
128	818.0632309	146	554.9841103
130	820.5563834	155	604.5231024
132	806.6353996	157	630.2414386
135	854.2769279	161	648.7792524
137	869.2375698	164	677.9552696
140	876.7459044	168	813.9942318
143	832.7382262	172	925.7776098
145	772.3040918	176	926.7303384
150	728.7176113	179	897.0580627
153	710.4187512	183	842.415301
157	707.2749892	187	852.9413198
160	649.3667526	191	790.5753159
162	584.5458294	193	735.8773749
165	538.2787866	196	660.9953223
168	560.0382355	199	651.3528426
171	618.8669976	203	735.2405248
173	674.9342989	207	861.08999
176	734.8501643	212	921.0330093
179	781.7394757	216	919.7829875
183	788.0279576	220	901.2861662
186	783.3951857	224	886.4472036
188	769.9420556	227	936.7528668
191	800.1813411	231	935.8450155
193	847.8463006	234	1018.732368
196	916.76589	236	982.3780583
199	899.6337666	239	1066.141309
202	882.0141094	242	998.6362293
205	873.4397182	245	988.271547
208	938.0051992	248	887.221731
210	981.0451215	250	864.4981123
213	981.9562272	253	896.3072202
215	952.3252839	256	925.4922026
218	932.2119576	259	1032.916869
221	992.1733171	263	1121.743828
224	1070.061119	267	1317.342417
228	1109.659022	270	1392.607315
230	1103.872239	273	1390.303915
233	1068.299325	273	1336.301329
235	1111.876105	278	1349.378815
238	1147.229399	283	1451.153472
242	1123.021164	285	1490.681157
244	1046.589093	289	1445.523159
247	988.4030681	291	1377.421634
250	1028.01972	294	1381.396593
253	1068.848175	298	1438.448448
256	1100.812214	302	1468.916236
258	1145.24346	305	1452.511846
261	1151.680466	310	1470.592571
263	1173.370209	314	1537.863037
266	1056.1019	318	1547.83751
268	1063.040645	321	1501.942367
271	1082.394413	324	1480.206565
274	1210.566572	328	1566.313541
277	1213.9574	331	1679.139966
280	1225.448063	334	1685.863184
283	1147.551951	336	1543.913634
285	1145.298865	344	1274.613298
287	1150.969489	346	1045.943863
289	1324.620715	349	1156.140186
292	1521.568653	352	1447.371049
295	1694.055152	355	1923.327075
298	1730.890064	358	2078.172649
300	1715.007699	363	1985.805007
303	1683.065872	364	1809.816026
305	1661.049717	367	1899.06337
308	1584.79264	370	1920.762408
310	1554.097388	372	2012.961377
313	1530.220278	374	1966.619942
